Menu,Submenu,Abre?,API real?,Endpoint,Listar,Criar,Editar,Excluir,Export PDF,Export Excel,Export HTML,Mock/Casca,Problema visual,Risco,Prioridade,Proximo ajuste
Dashboard,Visao geral,Sim,Sim,"/api/devices;/api/positions;/api/reports/events;/api/orders",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Cards com dados mistos (real + texto fixo),P1,Separar dados reais de cards estaticos
Dashboard,Frota em tempo real,Sim,Sim,"/api/devices;/api/positions",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P2,Ajustar somente labels e telemetria dedicada
Dashboard,Alertas criticos,Sim,Sim,/api/reports/events,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P2,Linkar com filtro direto do modulo Alertas
Dashboard,Chamados abertos,Sim,Nao,Nenhum (mock repository),Sim,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Cliente pode assumir operacao real, P0,Trocar repository mock por API real ou ocultar no modo cliente
Dashboard,Financeiro resumido,Sim,Nao,Nenhum (mock repository),Sim,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Indicador financeiro nao confiavel, P0,Ocultar no piloto completo ou integrar API real
Dashboard,Saude da operacao,Sim,Nao,Nenhum,Não,Não,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Placeholder confundindo usuario, P2,Marcar explicitamente Em desenvolvimento
Mapa,Mapa em tempo real (shell),Sim,Sim,"/api/devices;/api/positions;/api/reports/events;/api/server/geocode",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Baixo,P1,Expor origem dos dados no proprio painel
Mapa,"Acoes rapidas (puxar localizacao/criar alerta/abrir chamado/whatsapp/ver cameras/camadas)",Sim,Nao,Nenhum (placeholder),Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Acoes prometidas sem execucao, P1,Desabilitar com badge Em desenvolvimento
Veiculos,Lista de veiculos,Sim,Sim,"/api/devices;/api/positions",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P1,Adicionar filtro por placa/status no proprio modulo
Veiculos,Detalhe do veiculo + eventos recentes,Sim,Sim,"/api/positions?deviceId; /api/events (fallback /api/reports/events)",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Fallback silencioso pode mascarar erro real,P1,Mostrar estado de erro quando endpoint falhar
Veiculos,Submenus vinculos e historico no painel,Sim,Parcial,"Drivers/Finance/Inventory usam mock; History usa API real",Parcial,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Experiencia inconsistente entre real e mock,P1,Padronizar status real/mock por submenu
Dispositivos,Lista de dispositivos,Sim,Sim,/api/devices,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P1,Adicionar busca e filtros
Dispositivos,Adicionar dispositivo,Sim,Sim,/api/devices,NA,Sim,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem validacao forte de duplicidade de uniqueId,P1,Adicionar validacao pre-envio e feedback de conflito
Rotas,Historico de rota,Sim,Sim,/api/reports/route,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P1,Adicionar indicador de timezone dos pontos
Rotas,Replay visual no mapa,Sim,Sim,/api/reports/route,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P1,Adicionar resumo por trecho/parada opcional
Rotas,"Paradas/Viagens/Quilometragem/Rota obrigatoria/Rota proibida",Sim,Nao,Nenhum (placeholder),Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Escopo exibido sem funcao real,P1,Marcar todos como Em desenvolvimento
